a,a
ai,ai
an,an
ang,ang
ao,ao
pa,ba
pai,bai
pan,ban
pang,bang
pao,bao
pei,bei
pen,ben
peng,beng
pi,bi
pien,bian
piao,biao
pieh,bie
pin,bin
ping,bing
po,bo
pu,bu
ts’a,ca
ts’ai,cai
ts’an,can
ts’ang,cang
ts’ao,cao
ts’e,ce
ts’en,cen
ts’eng,ceng
ch’a,cha
ch’ai,chai
ch’an,chan
ch’ang,chang
ch’ao,chao
ch’e,che
ch’en,chen
ch’eng,cheng
ch’ih,chi
me,me
mei,mei
men,men
meng,meng
mi,mi
mien,mian
miao,miao
mieh,mie
min,min
ming,ming
miu,miu
mo,mo
mou,mou
mu,mu
na,na
nai,nai
nan,nan
nang,nang
nao,nao
ne,ne
nei,nei
nen,nen
neng,neng
ni,ni
nien,nian
niang,niang
niao,niao
nieh,nie
min,nin
ning,ning
niu,niu
nung,nong
nou,nou
nu,nu
nü,nv
nuan,nuan
nüeh,nve
no,nuo
o,o
ou,ou
p’a,pa
ch’ung,chong
ch’ou,chou
ch’u,chu
ch’ua,chua
ch’uai,chuai
ch’uan,chuan
ch’uang,chuang
ch’ui,chui
ch’un,chun
ch’o,chuo
tz’u,ci
ts’ung,cong
ts’ou,cou
ts’u,cu
ts’uan,cuan
ts’ui,cui
ts’un,cun
ts’o,cuo
ta,da
tai,dai
tan,dan
tang,dang
tao,dao
te,de
tei,dei
tun,den
teng,deng
ti,di
tien,dian
tiao,diao
tieh,die
ting,ding
tiu,diu
tung,dong
tou,dou
tu,du
tuan,duan
tui,dui
tun,dun
to,duo
p’ai,pai
p’an,pan
p’ang,pang
p’ao,pao
p’ei,pei
p’en,pen
p’eng,peng
p’i,pi
p’ien,pian
p’iao,piao
p’ieh,pie
p’in,pin
p’ing,ping
p’o,po
p’ou,pou
p’u,pu
ch’i,qi
ch’ia,qia
ch’ien,qian
ch’iang,qiang
ch’iao,qiao
ch’ieh,qie
ch’in,qin
ch’ing,qing
ch’iung,qiong
ch’iu,qiu
ch’ü,qu
ch’üan,quan
ch’üeh,que
ch’ün,qun
jan,ran
jang,rang
jao,rao
je,re
jen,ren
jeng,reng
jih,ri
jung,rong
jou,rou
ju,ru
juan,ruan
jui,rui
jun,run
jo,ruo
o,e
e,e
eh,e
en,en
erh,er
fa,fa
fan,fan
fang,fang
fei,fei
fen,fen
feng,feng
fo,fo
fou,fou
fu,fu
ka,ga
kai,gai
kan,gan
kang,gang
kao,gao
ko,ge
kei,gei
ken,gen
keng,geng
kung,gong
kou,gou
ku,gu
kua,gua
kuai,guai
kuan,guan
kuang,guang
kuei,gui
kun,gun
kuo,guo
ha,ha
hai,hai
han,han
sa,sa
sai,sai
san,san
sang,sang
sao,sao
se,se
sen,sen
seng,seng
sha,sha
shai,shai
shan,shan
shang,shang
shao,shao
she,she
shei,shei
shen,shen
sheng,sheng
shih,shi
shou,shou
shu,shu
shua,shua
shuai,shuai
shuan,shuan
shuang,shuang
shui,shui
shun,shun
shuo,shuo
ssu,si
sung,song
sou,sou
su,su
suan,suan
sui,sui
sun,sun
so,suo
t’a,ta
t’ai,tai
t’an,tan
t’ang,tang
t’ao,tao
t’e,te
t’ai,tei
t’eng,teng
t’i,ti
t’ien,tian
hang,hang
hao,hao
ho,he
hei,hei
hen,hen
heng,heng
hung,hong
hou,hou
hu,hu
hua,hua
huai,huai
huan,huan
huang,huang
hui,hui
hun,hun
huo,huo
chi,ji
chia,jia
chien,hian
chiang,jiang
chiao,jiao
chieh,jie
chin,jin
ching,jing
chiung,jiong
chiu,jiu
chü,ju
chüan,juan
chüeh,jue
chün,jun
k’a,ka
k’ai,kai
k’an,kan
k’ang,kang
k’ao,kao
k’ei,ke
k’o,kei
k’en,ken
k’eng,keng
k’ung,kong
t’iao,tiao
t’ieh,tie
t’ing,ting
t’ung,tong
t’ou,tou
t’u,tu
t’uan,tuan
t’ui,tui
t’un,tun
t’o,tuo
wa,wa
wai,wai
wan,wan
wang,wang
wei,wei
wen,wen
weng,weng
wo,wo
wu,wu
hsi,xi
hsia,xia
hsien,xian
hsiang,xiang
hsiao,xiao
hsieh,xie
hsin,xin
hsung,xing
hsiung,xiong
hsiu,xiu
hsü,xu
hsüan,xuan
hsüeh,xue
hsün,xun
ya,ya
yai,yai
yen,yan
yang,yang
yao,yao
yeh,ye
i,yi
yin,yin
k’ou,kou
k’u,ku
k’ua,kua
k’uai,kuai
k’uan,kuan
k’uang,kuang
k’uei,kui
k’un,kun
k’uo,kuo
la,la
lai,lai
lan,lan
lang,lang
lao,lao
le,le
lei,lei
leng,leng
li,li
lia,lia
lien,lian
liang,liang
liao,liao
lieh,lie
lin,lin
ling,ling
liu,liu
lo,lo
lung,long
lou,lou
lu,lu
lü,lv
luan,luan
lüeh,lve
lun,lun
lo,luo
ma,ma
mai,mai
man,man
mang,mang
mao,mao
ying,ying
yo,yo
yung,yong
yu,you
yü,yu
yüan,yuan
yüeh,yue
yün,yun
tsa,za
tsai,zai
tsan,zan
tsang,zang
tsao,zao
tse,ze
tsei,zei
tsen,zen
tseng,zeng
cha,zha
chai,zhai
chan,zhan
chang,zhang
chao,zhao
che,zhe
chei,zhei
chen,zhen
cheng,zheng
chih,zhi
chung,zhong
chou,zhou
chu,zhu
chua,zhua
chuai,zhuai
chuan,zhuan
chuang,zhuang
chui,zhui
chun,zhun
cho,zhuo
tzu,zi
tsung,zong
tsou,zou
tsu,zu
tsuan,zuan
tsui,zui
tsun,zun
tso,zuo